v8-version,8,6,235,0,0
code-creation,Builtin,3,1566,0x108c6fd60,1632,RecordWrite
code-creation,Builtin,3,1612,0x108c703e0,424,EphemeronKeyBarrier
code-creation,Builtin,3,1622,0x108c705a0,48,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,1632,0x108c705e0,301,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,1641,0x108c70720,224,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1651,0x108c70820,275,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1661,0x108c70940,316,CallFunction_ReceiverIsAny
code-creation,Builtin,3,1670,0x108c70a80,140,CallBoundFunction
code-creation,Builtin,3,1679,0x108c70b20,117,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1699,0x108c70ba0,117,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1709,0x108c70c20,117,Call_ReceiverIsAny
code-creation,Builtin,3,1717,0x108c70ca0,528,Call_ReceiverIsNullOrUndefined_WithFeedback
code-creation,Builtin,3,1728,0x108c70ec0,528,Call_ReceiverIsNotNullOrUndefined_WithFeedback
code-creation,Builtin,3,1738,0x108c710e0,528,Call_ReceiverIsAny_WithFeedback
code-creation,Builtin,3,1747,0x108c71300,898,CallProxy
code-creation,Builtin,3,1755,0x108c716a0,84,CallVarargs
code-creation,Builtin,3,1763,0x108c71700,1104,CallWithSpread
code-creation,Builtin,3,1771,0x108c71b60,1684,CallWithSpread_WithFeedback
code-creation,Builtin,3,1781,0x108c72200,994,CallWithArrayLike
code-creation,Builtin,3,1789,0x108c72600,1542,CallWithArrayLike_WithFeedback
code-creation,Builtin,3,1799,0x108c72c20,103,CallForwardVarargs
code-creation,Builtin,3,1808,0x108c72ca0,103,CallFunctionForwardVarargs
code-creation,Builtin,3,1817,0x108c72d20,177,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,1827,0x108c72de0,277,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,1837,0x108c72f00,394,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,1848,0x108c730a0,31,ConstructFunction
code-creation,Builtin,3,1857,0x108c730c0,140,ConstructBoundFunction
code-creation,Builtin,3,1866,0x108c73160,28,ConstructedNonConstructable
code-creation,Builtin,3,1876,0x108c73180,98,Construct
code-creation,Builtin,3,1884,0x108c73200,84,ConstructVarargs
code-creation,Builtin,3,1892,0x108c73260,1124,ConstructWithSpread
code-creation,Builtin,3,1901,0x108c736e0,2014,ConstructWithSpread_WithFeedback
code-creation,Builtin,3,1911,0x108c73ec0,1080,ConstructWithArrayLike
code-creation,Builtin,3,1921,0x108c74300,1974,ConstructWithArrayLike_WithFeedback
code-creation,Builtin,3,1931,0x108c74ac0,144,ConstructForwardVarargs
code-creation,Builtin,3,1940,0x108c74b60,144,ConstructFunctionForwardVarargs
code-creation,Builtin,3,1950,0x108c74c00,937,Construct_WithFeedback
code-creation,Builtin,3,1959,0x108c74fc0,349,JSConstructStubGeneric
code-creation,Builtin,3,1969,0x108c75120,248,JSBuiltinsConstructStub
code-creation,Builtin,3,1978,0x108c75220,767,FastNewObject
code-creation,Builtin,3,1987,0x108c75520,325,FastNewClosure
code-creation,Builtin,3,1996,0x108c75680,229,FastNewFunctionContextEval
code-creation,Builtin,3,2006,0x108c75780,229,FastNewFunctionContextFunction
code-creation,Builtin,3,2015,0x108c75880,209,CreateEmptyLiteralObject
code-creation,Builtin,3,2026,0x108c75960,242,CreateRegExpLiteral
code-creation,Builtin,3,2035,0x108c75a60,570,CreateEmptyArrayLiteral
code-creation,Builtin,3,2044,0x108c75ca0,1192,CreateShallowArrayLiteral
code-creation,Builtin,3,2055,0x108c76160,1972,CreateShallowObjectLiteral
code-creation,Builtin,3,2065,0x108c76920,890,ConstructProxy
code-creation,Builtin,3,2074,0x108c76ca0,188,JSEntry
code-creation,Builtin,3,2082,0x108c76d60,188,JSConstructEntry
code-creation,Builtin,3,2090,0x108c76e20,188,JSRunMicrotasksEntry
code-creation,Builtin,3,2100,0x108c76ee0,95,JSEntryTrampoline
code-creation,Builtin,3,2109,0x108c76f40,95,JSConstructEntryTrampoline
code-creation,Builtin,3,2119,0x108c76fa0,336,ResumeGeneratorTrampoline
code-creation,Builtin,3,2129,0x108c77100,1172,StringCodePointAt
code-creation,Builtin,3,2139,0x108c775a0,1695,StringFromCodePointAt
code-creation,Builtin,3,2148,0x108c77c40,576,StringEqual
code-creation,Builtin,3,2158,0x108c77ea0,308,StringGreaterThan
code-creation,Builtin,3,2205,0x108c77fe0,308,StringGreaterThanOrEqual
code-creation,Builtin,3,2216,0x108c78120,1113,StringIndexOf
code-creation,Builtin,3,2225,0x108c78580,308,StringLessThan
code-creation,Builtin,3,2233,0x108c786c0,308,StringLessThanOrEqual
code-creation,Builtin,3,2243,0x108c78800,2695,StringSubstring
code-creation,Builtin,3,2252,0x108c792a0,88,OrderedHashTableHealIndex
code-creation,Builtin,3,2262,0x108c79300,932,InterpreterEntryTrampoline
code-creation,Builtin,3,2272,0x108c796c0,77,InterpreterPushArgsThenCall
code-creation,Builtin,3,2282,0x108c79720,86,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,2294,0x108c79780,80,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,2305,0x108c797e0,77,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,2316,0x108c79840,77,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,2327,0x108c798a0,80,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,2339,0x108c79900,224,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,2349,0x108c79a00,90,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,2359,0x108c79a60,54,InterpreterOnStackReplacement
code-creation,Builtin,3,2370,0x108c79aa0,1081,CompileLazy
code-creation,Builtin,3,2381,0x108c79ee0,96,CompileLazyDeoptimizedCode
